Comment_ID	Text
z12ccvxjjtn4xb4ub224g1rghkmycfw2g	&quot;You may be seated&quot; isn&#39;t as good as &quot;Please, be seated&quot;<br /><br />humble. humble. humble.<br />and fix the nasal wheeze please Vice President Pence.
z12oxdrqutiuthqyh04cfjzgnpigdlijsj0	im sure all of you youtube comment savages have seen the Mattis Soldier meme
z12kvdxarleqwlofh23lzlti1zfktzu2a	God Bless Trump!
z12qe3sgmx2gfri3v23uerswtkvawz2pn04	I do not agree with everything President Trump says especially about Kenya where I come from but I think this is the smartest thing that a leader of the Western word has done yet. May be Mr. Trump is not a racist; just a president watching out for his county&#39;s best interests. Muslim immigration to majority Christian countries should be halted immediately. A Muslim has no business being in a Christian country, otherwise I&#39;d also apply for Indonesia citizenship. Muslim countries don&#39;t treat non-Muslims any better, trust me, I have some experience. My only regret is Saudi is not on the list but Kudos Mr. Trump.
z13lz30gyza0yamkkqm5grrohkbnx3ys1	that is a shame....he  and net a yahoo will not even give the chance to palistine to avoid the ignorant  that continue to steal with a deal
z13eipkx2xngfl5ql04cj1zzaobyxlywqac	all I know is the America that one&#39;s was is back if you truly believe my comment u know u are a god damn American
z12ajv3rbwzfxptwf04cgb04kty4ev445f4	I&#39;m a Trumpist, but I&#39;m very disappointed with Trump&#39;s decision. 15/19 of the 9/11 hijackers were from Saudi Arabia. Most of the Islamic terrorists are from Pakistani and Afghan, and Arab backgrounds. But Trump hasn&#39;t banned immigration from these countries. Yet... He bans Iranians even though 70% of Iranian-Americans are <b>NOT</b> even Moslem, many even despise Islam. Unlike Moslems, Iranians, on average, are among the most academically successful immigrants.
z12fszwiptuhgr10j22mwfxgixefhptfz	KEEP THAT HEATHEN SCUM OUT!!!!!!!!!!
z13wer0zxonqe1qvo22mjdkaturvwbjl3	why isn&#39;t Saudi Arabia, home of the 9/11 terrorists and finaciers of most radical islamists, on the list....because Mad Dog like all yankee military HAS NO BALLS...puppy dog mattis.....satanist pence....
z12kvfhbpze5en5ba04cdpcaqmrehjiqh2c	So, where was the part about President Trump imposing a ban on just Muslims? The spin concocted in this country is out of control. Listen to what he actually says. Don&#39;t read news reports.
z12hijiodnubfdhoc04cftrwpryjilz5zh0	Americans are the real terrorists.
z12gyv2iplv2vhjjr04cilz4iwbbwzdjzbs	After bombing 15 Muslims countries and invading 2 Muslims countries. This action was very much expected from America
z12euxgzmxj5zx1pj04cjh35qmfegdsa4uw0k	God bless PRESIDENT TRUMP.
z12bz5o4wnmbunubz04cdnohzkemzfyigtw0k	to all the liberal lefts, corrupt people taking money from the saudis and other oil rich countries; corrupt EU politicians. The doors are slowly being shut. Go trump keep it up and to any bleeding heart liberals go fk yourself.
z13hx5gygzyidrjvj22qxz1xxljxjbi0b	all religion does good and bad, but your constitutes requires that you must never discriminate any race or religion. USA sucks more than ever under Trump and it allready sucked pretty bad
z13xfnpypn3jz1hmv22be5th0lzuvxc2v	smells like freedom
z120tlmqdwnsttd2o23wghipcwnnftdhy04	Islam means submit, it is the most cancerous of the religions.
z12czpqpsky5evmej23oe3sgft3mzpewn04	Stupid president USA ever had. I wonder what will be the future of USA?  He is a christian extremist. After Bush he is the most worst president. His hateful speeches and acts will bring a line between muslim countries and USA.
z12gxxjj0trlcd4xo04cfpbxmv3udd0p14c	What a dumb bag of shit. Yellow turd pile on his head.
z13axt1gpk2rj1nyh04cevzwzvfxffeycjw	his hand seemed heavy.<br />oh well.
z125wjg4ks2wsx4wl04cdzbwumyasl4hnxg0k	Finally a president who wants to protect the citizens from whom his power is derived. A complete change from Obama who&#39;s entire agenda was to weaken America and its allies. Obama will surely go down as the worst president in American history. MAGA
z12os3qpmqbxitc2i23oxlxheqjgsxe3q	Not Muslims, Not Sheas, only the countries that have very close relationship with Russia and China are banned. These 7 nations are paying the price for being Russian and Chinese friends not having good relations with Israel, US and the West.
z13mtrdglxzszrzgc04cchfwqu34hpibupk0k	Bush did 4/20
z13eujvjiuv4zhw24224fpag1nn2yvbgv04	Fuck Trump, but good job Trump, you kick ass. :)
z12gipliuoi3vncv322sxpbbxxjwy1quo	It&#39;s been crazy how in one week he&#39;s done more than Obama ever could.
z132yt5p4uabejxie04cc1yzrvemjvvpcas	I love that President Trump is making our generals important again. America invicta!
z12cxj3avk3lznt0322hivzx5u3vu5ktc	The army needs new planes and ships? Really? I thought they needed PTSD rehab or you know... less wars to fight in? No but I&#39;m sure they&#39;ll hop on those new ships and sing songs all the way to Iraq for the umpteenth time.
z122tbroruydup3s422kv31xommiw3xkb	President Trump looks confused... understandable... Mr. Deferment. Geez we&#39;re f*cked.
z13eyhd4cqihxbcvl22uux0riwrrfpthh04	So when do you deport the mexicans and latinos???
z12qij2g4rmkvp1g504ccjayapettbrzspc0k	"cameras started to be busy around <a href=""http://www.youtube.com/watch?v=OuDZit1lOkU&amp;t=12m45s"">12:45</a>"
z13qcl4zqt3jvd42x22wgptqvz3dv3xai04	FUCK YOU DONALD TRUMP FOR DIVIDING PEOPLE,  and SPREADING HATE !!!!. YOU CAN SAVE MONEY BY BETRAYING PEOPLE , NOT PAYING TAXES, NOT PAYING YOUR EMPLOYEES BUT DONT FORGET, YOU ARE 70 YEARS OLD DONALD  YOU WILL MEET GOD IN 15 -20 YEARS !!!
z13kftsi1tndylv3423espzr3m3dszdyo04	the world is getting dumb...FACT.
z13zx1cwclr2tvd5c04cdpmadzitjjlprts0k	It&#39;s a shame that us Humans are supposed to be these great creatively thinking beings that rule over the food chain and can create great vast cities across miles and miles of land. Smart enough to know that we should stop fighting and unify in the earlier stages of human history, to create basic human laws that should be followed by governments created by those same people. Yet we&#39;re dumb enough to think of ourselves as better than a different group of people over such trivial things.  <br /><br />I&#39;m sick of people calling it a MUSLIM ban it&#39;s not it&#39;s the TRAVEL ban. <br />I&#39;m sick of people thinking they can change shit by rioting and causing chaos and hurting people that had nothing to do with their current situation<br />I&#39;m sick of our government having its hands in the education of our youth so it can plant the seeds of bullshit.<br />I&#39;m sick of people... <br /><br />We&#39;re all humans living on the same planet, we could have possibly been on mars already, but you know why we aren&#39;t? You already know why.
z13mt5ooluvvfb01h220hvvo5sfwcj2x104	didn&#39;t ban Saudi arabia  though did he,  wonder why
z12ewzq4pmf5clk0v23yzjyycpryijb3u	Hope he can turn our country around in the right direction. He&#39;s out last hope
z12zu1b4ew2vu3wtn23rcrxhnqmuzbil5	there are more American terrorist attacks then isis attacks. why not fix problem at home first
z13ounx5lun1vlu4k04cetc41qvzsle4e2w	Thank you, Mr President, for loving America. You are working so hard for all of us. Something we will have to get use to.🇺🇸🇺🇸🇺🇸
z12nszf4iv2bufavj23ghz3ydtqjwtpkm	kicking serious ass
z12ttrpphre4xbwvw230tzcimmyvsjx1r	I am very happy he did this instead of a blanket ban on all muslims
z13sxfhoynreypmpq04cjj2xhsbbelzaaus0k	trump and America will regret their decision. ...remember my words .
z13kth54hpblzvgtr22tdfihhzmfehyh404	This prevented world war on our soil, now we&#39;ll just have to clean up Europe. Think those refugees want to flee? No, they&#39;re on a one way trip to Allah, prepared to die.<br /><br />Refugees don&#39;t act like pieces of shit In the countries that take them in. But these savages are beating people, raping women, looting, all to get the people in these countries riled up for war.
z13xsryguwriejf5h04chzow4sqgjbsjwgs	Only for 90 days :(
z13zsfaggwygchz0w23mctsrhrizhduaj04	Trump is no obama. Thank God for that.
z12lejfwesz1dpywm04ceftgdzzrcffhwck	Shame on Americans ours military childrens brothers sacrificed for jewish causes
z12wjbbwgu2huvev523bhznq3wf1ftgp204	I REALLY CAN&#39;T BELIEVE THIS SPEECH , AFTER WHAT HE ORDERED AT STANDING ROCK, LETTING HIS FORCE HE HAS AT STANDING ROCK I REALLY CANT FUCKING BELIEVE IT, NOT ONLY THAT HE STOLE THAT LAND FROM THE NATIVES OMG...REALLY
z13xs5miizise3sbo04cgfkr0kzpg3pp3vc0k	CNN.  Grow up.  He&#39;s halting immigration from areas where vetting is unreliable or incomplete.
z13fehnhcxfech4ke22rdlyplwvvgljsn	I feel bad for the people who are not radicals. All these people in the comments seem to band them all in one evil group. So many people have lost a chance to better life and are now left to perish in the terrible conditions they live in.
